Smiles,Molecule ChEMBL ID,pChEMBL Value,Molecular Weight,AlogP,#RO5 Violations,Document Year,Source Description,Time_hr,Source_Type,Journal
O=C(NCc1ccc(Cl)cc1)c1nc2ccc(O)cc2s1,CHEMBL5559878,5.527243550682788,318.79,3.59,0.0,2024,Scientific Literature,0.3333,Article,Eur J Med Chem
O=C(NCc1ccc(F)c(F)c1)c1nc2ccc(O)cc2s1,CHEMBL5560604,7.481486060122112,320.32,3.21,0.0,2024,Scientific Literature,0.3333,Article,Eur J Med Chem
O=C(NCc1ccc(F)cc1)c1nc2ccc(O)cc2s1,CHEMBL5562447,6.401209493236885,302.33,3.07,0.0,2024,Scientific Literature,0.3333,Article,Eur J Med Chem
O=C(NCc1ccc(F)cc1F)c1nc2ccc(O)cc2s1,CHEMBL5555385,7.0,320.32,3.21,0.0,2024,Scientific Literature,0.3333,Article,Eur J Med Chem
O=C(NCc1ccc(N2CCCC2=O)cc1)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL5759663,1.229999999967245,403.53,3.6,0.0,2017,BindingDB Patent Bioactivity Data,0.5,Article,Eur J Med Chem
O=C(NCc1ccc(N2CCOCC2)cc1)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL5798787,1.229999999967245,405.54,3.31,0.0,2017,BindingDB Patent Bioactivity Data,,Article,Eur J Med Chem
O=C(NCc1ccc([N+](=O)[O-])cc1)c1nc2ccc(O)cc2s1,CHEMBL5557570,5.982966660701219,329.34,2.84,0.0,2024,Scientific Literature,1.0,Article,Eur J Med Chem
O=C(NCc1cccc(Cl)c1)c1nc2ccc(O)cc2s1,CHEMBL5558983,6.359518563029578,318.79,3.59,0.0,2024,Scientific Literature,,Article,Eur J Med Chem
O=C(NCc1cccc(F)c1)c1nc2ccc(O)cc2s1,CHEMBL5557490,6.206209615309181,302.33,3.07,0.0,2024,Scientific Literature,,Article,Eur J Med Chem
O=C(NCc1cccc(F)c1F)c1nc2ccc(O)cc2s1,CHEMBL5542906,7.6020599913279625,320.32,3.21,0.0,2024,Scientific Literature,,Patent,
O=C(NCc1cccc(Oc2ccccc2)c1)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL5744462,1.229999999967245,412.53,5.26,1.0,2017,BindingDB Patent Bioactivity Data,,Patent,
O=C(NCc1cccc(Oc2cnccn2)c1)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL5873053,1.229999999967245,414.51,4.05,0.0,2017,BindingDB Patent Bioactivity Data,,Patent,
O=C(NCc1cccc2c1OCCO2)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL5752495,1.229999999967245,378.47,3.24,0.0,2017,BindingDB Patent Bioactivity Data,,Article,Bioorg Med Chem Lett
O=C(NCc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,CHEMBL502021,6.00436480540245,385.42,4.3,0.0,2009,Scientific Literature,,Article,Bioorg Med Chem Lett
O=C(NCc1ccccc1)c1cc2ccccc2oc1=O,CHEMBL469976,5.707743928643524,279.3,2.72,0.0,2009,Scientific Literature,,Patent,
O=C(NCc1ccccc1)c1ccc(C2CC2NCc2ccc(-c3cnccn3)cc2)cc1,CHEMBL5895901,1.229999999967245,434.54,4.72,0.0,2017,BindingDB Patent Bioactivity Data,,Patent,
O=C(NCc1ccccc1)c1ccc(C2CC2NCc2ccc(C(F)(F)F)cc2)cc1,CHEMBL5794777,1.229999999967245,424.47,5.28,1.0,2017,BindingDB Patent Bioactivity Data,,Article,Bioorg Med Chem Lett
O=C(NCc1ccccc1)c1ccc(C2CC2NCc2ccccc2F)cc1,CHEMBL5740290,1.229999999967245,374.46,4.4,0.0,2017,BindingDB Patent Bioactivity Data,,Patent,
O=C(NCc1ccccc1)c1ccc(C2CC2NCc2cccs2)cc1,CHEMBL5762172,1.229999999967245,362.5,4.32,0.0,2017,BindingDB Patent Bioactivity Data,,Article,Bioorg Med Chem
O=C(NCc1ccccc1)c1cccc(C2CC2NCC2CC2)c1,CHEMBL5854913,1.229999999967245,320.44,3.47,0.0,2017,BindingDB Patent Bioactivity Data,,Article,Bioorg Med Chem
O=C(NCc1ccccc1)c1nc2ccc(O)cc2s1,CHEMBL5559719,6.258060922270801,284.34,2.93,0.0,2024,Scientific Literature,,Article,Bioorg Med Chem
O=C(NCc1ccccc1Cl)c1nc2ccc(O)cc2s1,CHEMBL5568172,6.835647144215563,318.79,3.59,0.0,2024,Scientific Literature,,Article,Bioorg Med Chem
O=C(NCc1ccccc1F)c1nc2ccc(O)cc2s1,CHEMBL5532507,6.554395796726403,302.33,3.07,0.0,2024,Scientific Literature,,Article,Bioorg Med Chem
O=C(NCc1ccccn1)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL5742303,1.229999999967245,321.42,2.87,0.0,2017,BindingDB Patent Bioactivity Data,,Article,Bioorg Med Chem
O=C(NCc1cccnc1)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL6061311,1.229999999967245,321.42,2.87,0.0,2017,BindingDB Patent Bioactivity Data,,Article,Bioorg Med Chem Lett
O=C(NCc1cccs1)c1nc2ccc(O)cc2s1,CHEMBL5557687,6.6020599913279625,290.37,2.99,0.0,2024,Scientific Literature,,Article,ACS Med Chem Lett
O=C(NCc1ccncc1)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL5795686,1.229999999967245,321.42,2.87,0.0,2017,BindingDB Patent Bioactivity Data,1.0,Article,ACS Med Chem Lett
O=C(NCc1cn(Cc2ccc3oc(-c4ccc(Cl)cc4)cc(=O)c3c2)nn1)c1ccc(Cl)cc1,CHEMBL5291098,4.482672117705627,505.36,5.34,2.0,2020,Scientific Literature,,Patent,
O=C(NCc1cn(Cc2ccc3oc(-c4ccccc4)cc(=O)c3c2)nn1)c1ccc(Cl)cc1,CHEMBL5275592,4.806875401645538,470.92,4.68,0.0,2020,Scientific Literature,0.5,Article,Eur J Med Chem
O=C(NCc1cn(Cc2ccc3oc(-c4ccccc4)cc(=O)c3c2)nn1)c1ccccc1,CHEMBL5279254,4.806875401645538,436.47,4.03,0.0,2020,Scientific Literature,,Article,Eur J Med Chem
O=C(NCc1cnnn1Cc1ccc2oc(-c3ccc(Cl)cc3)cc(=O)c2c1)c1ccccc1,CHEMBL5277653,4.482672117705627,470.92,4.68,0.0,2020,Scientific Literature,,Article,Eur J Med Chem
O=C(NCc1ncccc1C(F)(F)F)c1ccc(C2CC2NCC2CC2)cc1,CHEMBL5766655,1.229999999967245,389.42,3.89,0.0,2017,BindingDB Patent Bioactivity Data,,Patent,
O=C(NNc1ccc(Cl)cc1)c1cc2ccccc2oc1=O,CHEMBL1830833,5.924453038607469,314.73,3.2,0.0,2011,Scientific Literature,,Patent,
O=C(NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1cc2ccccc2oc1=O,CHEMBL1830834,4.250882337643677,370.28,2.37,0.0,2011,Scientific Literature,,Patent,
